publisher=AFP	abstract=<d> <p> <s> 公安机关 销毁 １ ０ 余万 非法 枪支 跨国 武器 走私 渐 </s> </p> </d>	article=<d> <p> <s> 中广网 唐山 ６ 月 １ ２ 日 消息 抓获 王挺 交代 </s> <s>  他 通过 一 境外 网站 上 认识 了 上家 林志富 </s> <s>  ２ ０ ０ ９ 年 １ １ 月 以来 </s> <s>  林志富 长期 居住 美国 </s> <s>  他 通过 互联网 组建 了 一个 走私 贩卖 私藏枪支 弹药 的 群体 </s> <s>  通过 网络 在 国内 寻找 枪支弹药 买家 </s> <s>  并 通过 美国 Ｕ Ｐ Ｓ 联邦 速递 公司 将 枪支弹药 
publisher=AFP	abstract=<d> <p> <s> 张绍 刚发 道歉信 网友 不 认可 ： 他 的 问题 是 俯视 他 </s> </p> </d>	article=<d> <p> <s> 天津 卫视 求职 节目 《 非你莫属 》 晕倒 门 事件 余波 未了 </s> <s>  主持人 张绍 刚 前日 通过 《 非你莫属 》 节目组 发出 道歉信 </s> <s>  称 自己 错 在 对 留学生 缺乏 了解 但 他 的 道歉 </s> <s>  没有 得到 网友 的 接受 和 原谅 </s> <s>  有 网友 尖锐 指出 </s> <s>  张绍 刚 的 问题 就 在 俯视 他人 </s> <s>  连 道歉 都 不会  张绍 刚 ： 我 是 一番 
publisher=AFP	abstract=<d> <p> <s> 欧洲杯 大战 在 即 荷兰 葡萄牙 面临 淘汰 将 背水 一 </s> </p> </d>	article=<d> <p> <s> 中广网 北京 ６ 月 １ ３ 日 消息 据 中国 之声 《 新闻 晚 高峰 》 报道 </s> <s>  明天 凌晨 两场 欧洲杯 的 精彩 比赛 上演 </s> <s>  死亡 之组 Ｂ 组 当中 两支 传统 的 强队 荷兰队 和 葡萄牙队 正 面临 着 提前 淘汰 出局 的 危险  第一轮 之后 Ｂ 组 的 积分 的 形势 是 ３ ３ ０ ０ </s> <s>  德国 和 丹麦 ３ 分 </s> <s>  葡萄牙 和 荷兰 ０ 分 今天 又 是 ３ 分 的 两支
publisher=AFP	abstract=<d> <p> <s> 扎克 伯格 携妻 罗马 当街 吃 ３ ０ 元 麦当劳 午 </s> </p> </d>	article=<d> <p> <s> 环球网 记者 李亮 报道 </s> <s>  正在 意大利 度蜜月 的 脸谱 创始人 扎克 伯格 与 他 华裔 妻子 的 一举一动 都 处于 媒体 的 追踪 之下 ５ 月 ３ １ 日 </s> <s>  在 罗马 这个 拥有 １ ３ 家 米其林 星级 餐厅 的 城市 </s> <s>  身家 近 千亿 的 扎克 伯格 夫妇 被 发现 穿着 普通 的 Ｔ 恤 短袖 </s> <s>  在 路边 一家 麦当劳 花 ３ 英镑 买 了 两人 的 午餐 </s> <s>  并 
publisher=AFP	abstract=<d> <p> <s> 十分钟 传导 三公 </s> </p> </d>	article=<d> <p> <s> 本报记者 张忠德  本报 通讯员 张艳 苏婧  城区 十分钟  从 ５ 月 中旬 开始 </s> <s>  在 胶南市 珠海 街道 办事处 的 烟台 东 社区 大 舞台 上 </s> <s>  一台 台 京剧 演出 点燃 了 附近 居民 的 热情 </s> <s>  １ ０ ０ 多人 的 演出 队伍 更是 让 几千 人次 的 观众 大呼 过瘾 烟台 东 社区 一位 负责人 告诉 记者 ： 我们 这个 大 舞台 总共 投资 了 ６ ０ ０ 多万元 </s> <s>
publisher=AFP	abstract=<d> <p> <s> 金正恩 为 朝 少年 团 代表 安排 宴会 学生 发誓 坚决 跟 </s> </p> </d>	article=<d> <p> <s> 中新网 ６ 月 ８ 日电 据 朝中社 报道 </s> <s>  ２ ６ ０ 多名 朝鲜 少年 团 代表 ７ 日 参加 了 朝鲜劳动党 第一书记 朝鲜 国防委员会 第一 委员长 金正恩 为 他们 自 安排 的 宴会  金正恩 为 少年 团 代表 们 送来 牛肉 虹鳟鱼 等 </s> <s>  给予 他们 悉心 的 照顾 少年 团 代表 们 发誓 </s> <s>  坚决 只 相信 并 跟随 金正恩 </s> <s>  准备 成为 强盛 国家 坚定 的 骨 </s> <
publisher=AFP	abstract=<d> <p> <s> 国资委 回应 央企 审计报告 称 ９ ７ ％ 问题 完成 修 </s> </p> </d>	article=<d> <p> <s> 中新社 北京 ６ 月 ２ 日电 国资委 ２ 日 在 官 网上 回应 了 日前 国家审计署 发布 的 １ ５ 家 中央 企业 ２ ０ １ ０ 年 财务收支 等 审计 结果 公告 </s> <s>  表示 欢迎 社会 对央企 进行 监督 被 点名 的 央企 也 于 ２ 日前 纷纷 对 审计署 提出 的 问题 进行 检讨 </s> <s>  并称 将 进一步 完善 其 制度  据悉 </s> <s>  审计署 １ 日 公布 了 中 石油 中石化 中国 电科 一汽 二重 等
publisher=AFP	abstract=<d> <p> <s> 证监会 ： 重组 中 股票 异常 交易 监管 将加 </s> </p> </d>	article=<d> <p> <s> 证监会 近日 召开 新闻 通气会 </s> <s>  就 《 关于 加强 与 上市公司 重大 资产重组 相关 股票 异常 交易 监管 的 暂行 规 </s> </p> </d>
publisher=AFP	abstract=<d> <p> <s> 台媒 曝 岛内 大学教授 假发票 案 涉案 教授 或达千 </s> </p> </d>	article=<d> <p> <s> 中国台湾 网 ６ 月 １ ５ 日 消息 据 台湾 《 中国时报 》 报道 </s> <s>  岛内 大学教授 假发票 真 Ａ 钱案 </s> <s>  如 滚雪球 </s> <s>  愈演愈烈 </s> <s>  目前 共有 台北 台 中 彰化 台南 等 四个 地检署 在 侦办 最新 一期 的 《 时报周刊 》 报道 </s> <s>  涉案 教授 可能 多达 １ ０ ０ ０ 人 </s> <s>  其中 理工 领域 占 三分之二 强 ； 由于 台湾 检察 总长 黄世
publisher=AFP	abstract=<d> <p> <s> 中 石油 创 历史 新低 大盘 或 开启 短线 下跌 空 </s> </p> </d>	article=<d> <p> <s> 受到 欧美 股市 大跌 以及 多 部位 联合 吹风 设立 国际 板 的 影响 </s> <s>  今日 沪深股市 大幅 跳空 低开 后 持续 震荡 走低 截至 收盘 </s> <s>  上证指数 报 ２ ３ ０ ８ ． ５ ５ 点 </s> <s>  跌幅 ２ ． ７ ３ ％ </s> <s>  深成指 报 ９ ８ ７ ４ ． ５ ２ 点 </s> <s>  跌幅 ２ ． ６ ７ ％  盘面 看 </s> <s>  今日 重 周期 行业 表现 疲软 </s> <s>
